"zip","population","freq","per_year","one_in_every_per_year","per_100000_per_year","zip_vs_state"
61831,157,10,0.666666666666667,235.5,424.628450106157,0.813380655935921
61832,37290,3733,248.866666666667,149.839271363515,667.38178242603,1.27837744224076
61833,2124,281,18.7333333333333,113.380782918149,881.983678593848,1.68944983041078
61834,8454,779,51.9333333333333,162.785622593068,614.304865546881,1.17670800050782
61839,586,68,4.53333333333333,129.264705882353,773.606370875995,1.48185185712831
61840,709,57,3.8,186.578947368421,535.966149506347,1.02664929336679
61841,1386,116,7.73333333333333,179.224137931034,557.960557960558,1.06877983448088
61842,2984,295,19.6666666666667,151.728813559322,659.070598748883,1.26245727478794
61843,2363,182,12.1333333333333,194.752747252747,513.471575680632,0.983560679759332
61844,970,82,5.46666666666667,177.439024390244,563.573883161512,1.07953222314629
61845,364,24,1.6,227.5,439.56043956044,0.841983052628173
61846,5101,500,33.3333333333333,153.03,653.466640528001,1.25172282868006
61847,1256,124,8.26666666666667,151.935483870968,658.174097664544,1.26074001670068
61848,227,11,0.733333333333333,309.545454545455,323.054331864905,0.618814269956536
61849,1842,178,11.8666666666667,155.224719101124,644.227289178429,1.23402474542808
61850,671,66,4.4,152.5,655.737704918033,1.25607307851088
61851,436,58,3.86666666666667,112.758620689655,886.850152905199,1.69877161764966
61852,261,34,2.26666666666667,115.147058823529,868.45466155811,1.66353484344289
61853,13206,860,57.3333333333333,230.337209302326,434.146095209248,0.831611814057762
61854,1438,154,10.2666666666667,140.064935064935,713.954566527585,1.36758814320019
61855,96,15,1,96,1041.66666666667,1.99532442159281
61856,7433,714,47.6,156.155462184874,640.387461321135,1.22666951122165
61857,153,25,1.66666666666667,91.8,1089.32461873638,2.0866137742147
61858,3124,355,23.6666666666667,132,757.575757575758,1.45114503388568
61859,1297,87,5.8,223.620689655172,447.185813415574,0.856589543518022
61862,510,48,3.2,159.375,627.450980392157,1.20188953394767
61863,814,83,5.53333333333333,147.10843373494,679.77067977068,1.30210851689201
61864,1715,163,10.8666666666667,157.822085889571,633.624878522838,1.21371570647558
61865,1391,129,8.6,161.744186046512,618.260244428469,1.18428457402374
61866,14048,1087,72.4666666666667,193.854645814167,515.850417615794,0.988117378711335
61870,1327,121,8.06666666666667,164.504132231405,607.887465460939,1.16441539719779
61871,284,22,1.46666666666667,193.636363636364,516.431924882629,0.989231262536152
61872,760,65,4.33333333333333,175.384615384615,570.175438596491,1.09217757813501
61873,6250,443,29.5333333333333,211.625282167043,472.533333333333,0.905143008015988
61874,7114,487,32.4666666666667,219.11704312115,456.377096804423,0.874195552041111
61875,761,57,3.8,200.263157894737,499.34296977661,0.95649717345211
61876,800,75,5,160,625,1.19719465295568
61877,1627,139,9.26666666666667,175.575539568345,569.555418971522,1.09098992344743
61878,1433,149,9.93333333333333,144.261744966443,693.184461502675,1.32780276931675
61880,4183,293,19.5333333333333,214.146757679181,466.969479639812,0.89448538258925
61882,713,65,4.33333333333333,164.538461538462,607.760635811127,1.16417245355204
61883,4438,474,31.6,140.443037974684,712.03244704822,1.36390630133933
61884,1244,104,6.93333333333333,179.423076923077,557.341907824223,1.06759480306445
61910,4463,346,23.0666666666667,193.482658959538,516.842183882291,0.990017118345308
61911,4860,333,22.2,218.918918918919,456.79012345679,0.874986709320698
61912,1344,120,8,168,595.238095238095,1.14018538376732
61913,1684,159,10.6,158.867924528302,629.453681710214,1.20572573124278
61914,1920,179,11.9333333333333,160.893854748603,621.527777777778,1.19054357155037
61917,591,77,5.13333333333333,115.12987012987,868.58432036097,1.66378320636368
61919,813,80,5.33333333333333,152.4375,656.006560065601,1.25658807362302
61920,25594,1508,100.533333333333,254.582228116711,392.800395926129,0.752413653890619
61924,2449,239,15.9333333333333,153.702928870293,650.605689397033,1.24624264404588
61925,912,89,5.93333333333333,153.707865168539,650.584795321637,1.24620262120533
61928,757,56,3.73333333333333,202.767857142857,493.174812857772,0.944681998281191
61929,769,96,6.4,120.15625,832.249674902471,1.59418377714775
61930,515,51,3.4,151.470588235294,660.194174757282,1.26460949749105
61931,1255,82,5.46666666666667,229.573170731707,435.590969455511,0.834379487212673
61932,456,41,2.73333333333333,166.829268292683,599.415204678363,1.14818668470604
61933,1141,111,7.4,154.189189189189,648.553900087642,1.24231241814157
61936,243,24,1.6,151.875,658.43621399177,1.26124210352533
61937,2022,205,13.6666666666667,147.951219512195,675.898450379162,1.29469121717595
61938,22409,2233,148.866666666667,150.530676220331,664.316420485817,1.27250570636205
61940,258,28,1.86666666666667,138.214285714286,723.514211886305,1.38589975329237
61941,57,5,0.333333333333333,171,584.795321637427,1.12018213142052
61942,1202,112,7.46666666666667,160.982142857143,621.186910704382,1.18989063677015
61943,1637,155,10.3333333333333,158.41935483871,631.236000814498,1.2091397838852
61944,12908,1361,90.7333333333333,142.26304188097,702.923251730193,1.34645753345538
61949,179,20,1.33333333333333,134.25,744.87895716946,1.42682416739597
61951,8017,827,55.1333333333333,145.411124546554,687.705292919213,1.31730735918753
61953,6216,624,41.6,149.423076923077,669.240669240669,1.28193816120866
61955,157,13,0.866666666666667,181.153846153846,552.016985138004,1.0573948527167
61956,2909,295,19.6666666666667,147.915254237288,676.062793628968,1.29500601855181
61957,1869,197,13.1333333333333,142.309644670051,702.693062243624,1.3460166028594
62001,1752,179,11.9333333333333,146.815642458101,681.126331811263,1.30470528389082
62002,32704,3147,209.8,155.881792183031,641.511741682975,1.22882308312183
62006,648,72,4.8,135,740.740740740741,1.418897366466
62009,1810,175,11.6666666666667,155.142857142857,644.567219152854,1.2346758851845
62010,11186,1018,67.8666666666667,164.823182711198,606.710769414149,1.1621614224532
62011,284,23,1.53333333333333,185.217391304348,539.906103286385,1.03419631992416
62012,6654,558,37.2,178.870967741935,559.062218214608,1.07089007730572
62013,552,62,4.13333333333333,133.548387096774,748.792270531401,1.43432016392758
62014,4122,383,25.5333333333333,161.436031331593,619.44040109979,1.18654517763423
62015,487,58,3.86666666666667,125.948275862069,793.976728268309,1.52087150984651
62016,3816,388,25.8666666666667,147.525773195876,677.847658979734,1.29842494855851
62017,1185,129,8.6,137.790697674419,725.738396624473,1.39016020461352
62018,3604,344,22.9333333333333,157.151162790698,636.330003699593,1.21889740471108
62019,490,49,3.26666666666667,150,666.666666666667,1.2770076298194
62021,936,101,6.73333333333333,139.009900990099,719.373219373219,1.37796763474102
62022,1138,121,8.06666666666667,141.074380165289,708.845928529584,1.35780248864804
62023,91,6,0.4,227.5,439.56043956044,0.841983052628173
62024,9775,1108,73.8666666666667,132.333032490975,755.669224211424,1.44749304740654
62025,33748,2284,152.266666666667,221.637478108581,451.187230848248,0.864254304405447
62027,536,55,3.66666666666667,146.181818181818,684.07960199005,1.31036230671766
62028,1276,66,4.4,290,344.827586206897,0.660521187837619
62030,114,6,0.4,285,350.877192982456,0.672109278852314
62031,970,84,5.6,173.214285714286,577.319587628866,1.10586227736937
62032,749,94,6.26666666666667,119.521276595745,836.671117044949,1.60265310017388
62033,4894,514,34.2666666666667,142.821011673152,700.177087590247,1.3411972246162
62034,13819,1046,69.7333333333333,198.169216061185,504.619244035989,0.966603937181481
62035,16494,1655,110.333333333333,149.492447129909,668.930116001778,1.28134329292537
62036,704,71,4.73333333333333,148.732394366197,672.348484848485,1.28789121757354
62037,1993,181,12.0666666666667,165.165745856354,605.452416792106,1.15975103360417
62040,43735,4189,279.266666666667,156.60658868465,638.542738462711,1.22313592347398
62044,2009,190,12.6666666666667,158.605263157895,630.496100879376,1.20772249709151
62045,647,54,3.6,179.722222222222,556.414219474498,1.06581780541341
62046,713,46,3.06666666666667,232.5,430.10752688172,0.823875890206062
62047,1555,163,10.8666666666667,143.098159509202,698.82100750268,1.3385996376885
62048,1459,149,9.93333333333333,146.879194630872,680.831619830934,1.3041407597196
62049,8470,697,46.4666666666667,182.281205164993,548.602912239276,1.05085515700604
62050,473,51,3.4,139.117647058824,718.816067653277,1.37690040424502
62051,950,86,5.73333333333333,165.697674418605,603.508771929825,1.15602795962598
62052,13002,1217,81.1333333333333,160.25472473295,624.006563092858,1.19529171319044
62053,650,84,5.6,116.071428571429,861.538461538462,1.65028678315122
62054,872,94,6.26666666666667,139.148936170213,718.654434250764,1.37659079361265
62056,8930,1015,67.6666666666667,131.970443349754,757.745427398283,1.45147003837255
62058,843,77,5.13333333333333,164.220779220779,608.936338473705,1.16642452545781
62059,746,51,3.4,219.411764705882,455.764075067024,0.873021301887255
62060,4847,452,30.1333333333333,160.851769911504,621.690392682759,1.19085506226195
62061,1718,127,8.46666666666667,202.913385826772,492.821109817617,0.94400447605974
62062,7658,617,41.1333333333333,186.175040518639,537.128928353791,1.02887660955676
62063,1214,112,7.46666666666667,162.589285714286,615.046677649643,1.1781289500805
62065,97,18,1.2,80.8333333333333,1237.11340206186,2.36970488007723
62067,2401,183,12.2,196.803278688525,508.121615993336,0.973312770749477
62069,3313,337,22.4666666666667,147.462908011869,678.136633464131,1.2989784824906
62070,37,9,0.6,61.6666666666667,1621.62162162162,3.10623477523637
62074,1087,127,8.46666666666667,128.385826771654,778.902177246243,1.49199603483959
62075,3458,366,24.4,141.72131147541,705.61017929439,1.35160437395575
62076,135,13,0.866666666666667,155.769230769231,641.975308641975,1.2297110509372
62077,347,53,3.53333333333333,98.2075471698113,1018.25168107589,1.9504727487155
62078,119,9,0.6,198.333333333333,504.201680672269,0.965804089779375
62079,256,24,1.6,160,625,1.19719465295568
62080,2508,239,15.9333333333333,157.405857740586,635.300372142477,1.21692513367957
62081,298,34,2.26666666666667,131.470588235294,760.626398210291,1.45698857093488
62082,3109,287,19.1333333333333,162.491289198606,615.417604803259,1.17883946528841
62083,295,24,1.6,184.375,542.372881355932,1.03892146154798
62084,1606,129,8.6,186.744186046512,535.491905354919,1.02574087326714
62085,209,21,1.4,149.285714285714,669.856459330144,1.2831177141726
62086,1437,152,10.1333333333333,141.809210526316,705.172813732313,1.35076659521606
62087,2087,171,11.4,183.070175438596,546.238620028749,1.0463263282181
62088,6960,739,49.2666666666667,141.27198917456,707.854406130268,1.35590321614445
62089,489,51,3.4,143.823529411765,695.296523517382,1.3318484482779
62090,1189,87,5.8,205,487.80487804878,0.934395826697119
62091,337,23,1.53333333333333,219.782608695652,454.995054401583,0.871548234001368
62092,2979,317,21.1333333333333,140.96214511041,709.410316661072,1.35888358057317
62093,435,69,4.6,94.5652173913044,1057.47126436782,2.0255983093687
62094,1152,132,8.8,130.909090909091,763.888888888889,1.46323790916806
62095,11237,1037,69.1333333333333,162.540983606557,615.229450327786,1.17847905323726
62097,2828,243,16.2,174.567901234568,572.842998585573,1.0972873198236
62098,91,8,0.533333333333333,170.625,586.080586080586,1.1226440701709
62201,7547,486,32.4,232.932098765432,429.309659467338,0.822347566042436
62203,8209,755,50.3333333333333,163.092715231788,613.148170706948,1.17449233830387
62204,7960,628,41.8666666666667,190.127388535032,525.963149078727,1.00748843156606
62205,9329,898,59.8666666666667,155.829621380846,641.726515882374,1.22923448555881
62206,16509,1193,79.5333333333333,207.57334450964,481.757425242797,0.922811861635799
62207,8750,776,51.7333333333333,169.136597938144,591.238095238095,1.1325233379884
62208,17376,1516,101.066666666667,171.926121372032,581.645181092695,1.11414800115458
62214,1229,108,7.2,170.694444444444,585.842148087876,1.122187339467
62215,1872,103,6.86666666666667,272.621359223301,366.809116809117,0.702627061278835
